Genres,Film Count,Average Ratings
"Comedy,Mystery,Reality-TV",2,70.5
"Comedy,Mystery,Sport",2,70.5
"Comedy,Sci-Fi,Sport",2,63.5
"Crime,Documentary,Fantasy",2,62.5
"Crime,Family,Horror",2,66.5
"Crime,Family,Musical",2,81.5
"Crime,Family,Romance",2,67
"Crime,Fantasy,History",2,69.5
"Crime,Fantasy,Musical",2,65
"Crime,Game-Show,Mystery",2,76
"Crime,Musical,Short",2,86
"Crime,Mystery,News",2,74
"Crime,News,Reality-TV",2,56.5
"Crime,News,Short",2,56
"Crime,Romance,Sci-Fi",2,43
"Crime,Sport",2,72.5
"Crime,Thriller,War",2,66.5
"Documentary,Family,Mystery",2,72.5
"Documentary,Horror,News",2,82.5
"Documentary,Music,Thriller",2,68
"Documentary,Musical,War",2,77
"Documentary,News,Thriller",2,56.5
"Documentary,Sci-Fi,Sport",2,78.5
"Documentary,Sci-Fi,Talk-Show",2,77.5
"Documentary,Sport,Western",2,83
"Documentary,Talk-Show,Thriller",2,56
"Drama,Horror,News",2,71
"Drama,Musical,Talk-Show",2,67
"Drama,Reality-TV,Short",2,76
"Drama,Reality-TV,Sport",2,70.5
"Family,Fantasy,Western",2,51
"Family,Game-Show,History",2,68
"Family,History,Romance",2,82.5
"Family,History,Sci-Fi",2,64.5
"Family,History,War",2,87
"Family,Horror,Music",2,67
"Family,Horror,Thriller",2,53.5
"Family,Musical,News",2,68.5
"Family,Musical,Sci-Fi",2,70.5
"Family,Mystery,Sport",2,61.5
"Family,Mystery,Thriller",2,59.5
"Family,Romance,Sci-Fi",2,59.5
"Family,Romance,Sport",2,58.5
"Family,Short,War",2,72.5
"Family,Short,Western",2,77
"Fantasy,History,War",2,69.5
"Film-Noir,Thriller",2,71.5
"Game-Show,History",2,71
"Game-Show,Music,Mystery",2,41.5
"Game-Show,News",2,61
"Game-Show,News,Talk-Show",2,43
"History,Horror,Musical",2,67.5
"History,Horror,Romance",2,89.5
"History,Music,Romance",2,61.5
"History,Mystery,Reality-TV",2,70.5
"History,Mystery,Romance",2,72.5
"History,News,Talk-Show",2,67
"History,Romance,Sci-Fi",2,67.5
"History,Short,Talk-Show",2,73
"History,Short,Western",2,49.5
"Horror,Music,Musical",2,54.5
"Horror,Mystery,Talk-Show",2,81.5
"Horror,News,Talk-Show",2,69.5
"Horror,Reality-TV,Thriller",2,63.5
"Horror,Sci-Fi,Western",2,35.5
"Horror,Sport,Thriller",2,43
"Music,Musical,Sci-Fi",2,65.5
"Music,Mystery,Sci-Fi",2,70.5
"Music,News,Sport",2,74.5
"Music,Romance,Sport",2,62.5
"Music,Sci-Fi,Thriller",2,50
"Music,War",2,93
"Musical,Romance,Sci-Fi",2,85
"Musical,Romance,Sport",2,63.5
"Mystery,Romance,Sport",2,58.5
"Mystery,Romance,War",2,61.5
"Mystery,Short,Western",2,61
"Mystery,Thriller,Western",2,60
"News,Reality-TV,Sport",2,83
"Romance,Short,Sport",2,71
"Sci-Fi,Short,Sport",2,74.5
"Short,Sport,Thriller",2,69
"Short,War,Western",2,61
"Sport,War",2,65
"War,Western",2,48.5
"Action,Adult,War",3,65.3333333333333
"Action,Comedy,News",3,75.6666666666667
"Action,Documentary,Music",3,70
"Action,Documentary,Sci-Fi",3,70.3333333333333
"Action,Drama,Film-Noir",3,63.6666666666667
"Action,Family,Musical",3,62.3333333333333
"Action,Fantasy,Western",3,48.3333333333333
"Action,History,Western",3,73
"Action,Horror,Sport",3,48.6666666666667
"Action,Musical,Sci-Fi",3,66
"Action,Musical,War",3,65.6666666666667
"Action,Reality-TV,Short",3,70.6666666666667
"Adult,Comedy,Thriller",3,54.3333333333333
"Adult,Drama,Western",3,60
"Adult,Musical",3,49.3333333333333
"Adult,Romance,Thriller",3,56
